id,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
1,-0.17878829,-0.32743254,-0.35516611,-2.02027965,0.19551621,1.40072370,0.40464872
2,-0.06680596,-0.31864884,-0.17429376,-1.85032094,0.29079214,1.27969766,0.64133924
3,-0.24063227,-0.04269895,-0.28129733,-1.70916784,0.21635942,1.32675791,0.30397385
4,-0.06107536,-0.23706998,-0.15691969,-1.78859413,0.28801590,1.28631079,0.63765907
5,-0.12416235,-0.34549990,-0.26975703,-1.90629268,0.20325552,1.26295471,0.48119128
6,-0.12922214,-0.26607794,-0.25446656,-1.85565543,0.21901147,1.28559852,0.47650713
7,-0.19796214,-0.14379251,-0.30383715,-1.79929495,0.18676893,1.32210279,0.31978232
8,-0.01441677,-0.41900355,-0.12561893,-1.88589001,0.31469283,1.22622406,0.75935107
9,-0.14720140,-0.27466905,-0.27365637,-1.86364353,0.20805775,1.29148078,0.43769234
10,-0.09986982,-0.52753222,-0.27366969,-2.04059982,0.18240352,1.19865465,0.54120487
11,0.00444609,-0.33223587,-0.07589040,-1.78822148,0.35419819,1.26339245,0.83184808
12,-0.10809235,-0.39627832,-0.25480342,-1.95483875,0.21348806,1.26175356,0.50526565
13,-0.16752419,-0.02531914,-0.17682415,-1.64363229,0.28661606,1.32346451,0.48721319
14,-0.05300982,0.02444023,-0.05558335,-1.53220892,0.35776293,1.34286439,0.73895437
15,0.00096531,0.11946034,0.03987990,-1.36860096,0.39976570,1.31226528,0.90332657
16,-0.08719984,-0.44276196,-0.23220518,-1.97004545,0.22586164,1.23853409,0.56081945
17,-0.28270543,0.17938077,-0.18744600,-1.48209631,0.26923841,1.35458314,0.34868938
18,-0.01257625,-0.20409563,-0.07712930,-1.69419324,0.35185185,1.28290260,0.80543059
19,0.00635329,-0.31180888,-0.06616970,-1.77202821,0.35706189,1.25695789,0.83902323
20,-0.18965624,-0.41236073,-0.39195311,-1.99265873,0.09960169,1.24923313,0.29731876
21,0.01059496,-0.00742130,-0.01465339,-1.49452245,0.35870591,1.30913198,0.87078339
22,-0.07407139,-0.33191693,-0.17050627,-1.87280595,0.27952275,1.27995539,0.63684839
23,-0.06892405,-0.55547804,-0.25090277,-2.03882933,0.21877949,1.20457232,0.59264135
24,-0.10099906,-0.46447664,-0.26225930,-1.98369062,0.20029692,1.22888207,0.52812964
25,0.08217511,-0.25522968,0.03088755,-1.65469587,0.40129012,1.25109136,1.01697397
26,-0.08600391,-0.08503814,-0.11981294,-1.65367174,0.32151303,1.32253730,0.64276004
27,0.02481845,-0.16641548,0.00158148,-1.61201560,0.37207982,1.26991320,0.91612864
28,-0.06350870,-0.44600469,-0.19706583,-1.94992912,0.26121676,1.23754656,0.63029212
29,-0.09204265,-0.38020524,-0.23859990,-1.92927921,0.23099598,1.24872899,0.54240054
30,-0.15929455,0.05225629,-0.15900481,-1.56126714,0.29052624,1.33182263,0.49373674
31,-0.16840799,-0.12998338,-0.24250150,-1.76208317,0.23454644,1.32115614,0.41754419
32,-0.05378774,-0.31093171,-0.15805423,-1.83456337,0.29512796,1.27327931,0.67446452
33,-0.18150842,0.08443916,-0.14349934,-1.55893171,0.31101024,1.34427738,0.49408567
34,-0.02523169,-0.44760609,-0.14688319,-1.92308176,0.29727679,1.21941876,0.72896379
35,-0.14474165,-0.04010965,-0.16401145,-1.66279018,0.30411986,1.32774818,0.52426755
36,0.04065397,-0.10519375,0.01625363,-1.54869545,0.39424312,1.27813804,0.95894426
37,-0.20124774,-0.19794732,-0.29905343,-1.82510078,0.19017540,1.30974627,0.33871120
38,-0.08361691,-0.19768012,-0.13960579,-1.75201356,0.30722100,1.30770695,0.64985418
39,-0.14135569,-0.01715916,-0.15755144,-1.62726200,0.30533072,1.33182633,0.54365712
40,-0.10345830,-0.30582753,-0.21269786,-1.86665976,0.24984433,1.27928376,0.54493529
41,-0.32157999,0.20022728,-0.20504260,-1.47694707,0.27586615,1.32562435,0.30792671
42,-0.00920802,-0.37212688,-0.09753082,-1.82501471,0.32726702,1.23774254,0.79765213
43,0.07695258,-0.44334662,-0.01348061,-1.82446194,0.39164552,1.21768320,0.98949510
44,-0.15796252,-0.22114398,-0.26410231,-1.82961833,0.21601838,1.29970992,0.42049903
45,0.00400144,-0.01531549,0.00817221,-1.49102843,0.38808295,1.29978347,0.87819195
46,-0.15806182,-0.33890077,-0.33859646,-1.93282449,0.15266323,1.26211584,0.36745715
47,0.19744578,-0.11878790,0.20705874,-1.39091361,0.48092136,1.26134789,1.33798671
48,0.10813549,-0.01050860,0.10170193,-1.38860500,0.41243413,1.28453863,1.10852551
49,-0.30278060,0.27589315,-0.15602475,-1.38785040,0.28840280,1.35945499,0.35005200
50,-0.06412101,0.13713221,-0.03933046,-1.39395964,0.34194598,1.32499456,0.73583150
51,-0.25213730,-0.31892663,-0.44699174,-1.98142922,0.05352197,1.30894458,0.16993067
52,-0.23033851,-0.26581913,-0.38604262,-1.90886486,0.12015563,1.27761495,0.22627394
